ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11094370,JA440032,09/21/2017 12:15:00 AM,072XX N CALIFORNIA AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,TRUE,FALSE,2411,24,50,2,10,1156443,1947707,2017,03/01/2018 15:52,42.0122934,-87.69971411,"(42.012293397, -87.699714109)"
11118031,JA470589,10/12/2017 19:14,055XX W GRAND AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,JAIL / LOCK-UP FACILITY,TRUE,FALSE,2515,25,29,19,14,1138788,1913480,2017,03/01/2018 15:52,41.91871165,-87.76551063,"(41.918711651, -87.76551063)"
11134189,JA491697,10/30/2017 11:52:00 AM,043XX S TALMAN AVE,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,APARTMENT,TRUE,FALSE,922,9,12,58,26,1159425,1875711,2017,03/01/2018 15:52,41.81466978,-87.6907267,"(41.814669784, -87.690726696)"
11156462,JA521389,09/29/2017 06:45:00 PM,055XX W BELMONT AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,TRUE,FALSE,2514,25,30,19,11,1138653,1920720,2017,03/01/2018 15:52,41.93858144,-87.76583058,"(41.938581442, -87.765830579)"
11164874,JA531910,12/01/2017 6:20,022XX W CHICAGO AVE,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,STREET,TRUE,FALSE,1221,12,32,24,2,1161264,1905292,2017,03/01/2018 15:52,41.8958051,-87.68315936,"(41.895805099, -87.683159355)"
10974196,JA298243,06/08/2017 16:02,001XX E 59TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,TRUE,FALSE,232,2,20,40,15,1178308,1865932,2017,02/11/2018 15:54,41.78742694,-87.62175873,"(41.78742694, -87.621758727)"
10995008,JA322389,06/25/2017 07:00:00 PM,003XX W 103RD ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,TRUE,FALSE,511,5,9,49,3,1175895,1836626,2017,02/11/2018 15:54,41.70706214,-87.63148256,"(41.707062135, -87.631482564)"
11086755,JA430240,09/06/2017 13:30,032XX W 26TH ST,810,THEFT,OVER $500,OTHER,TRUE,FALSE,1024,10,12,30,6,1155313,1886555,2017,02/11/2018 15:54,41.84451047,-87.70551945,"(41.844510467, -87.705519454)"
11157652,JA522842,11/23/2017 03:14:00 PM,003XX E 47TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,DEPARTMENT STORE,FALSE,FALSE,215,2,3,38,04A,1178967,1873924,2017,02/11/2018 15:54,41.80934273,-87.619099,"(41.809342727, -87.619098999)"
11162428,JA529032,11/28/2017 09:43:00 PM,026XX S CALIFORNIA BLVD,5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,JAIL / LOCK-UP FACILITY,TRUE,FALSE,1034,10,12,30,26,1158280,1886310,2017,02/11/2018 15:54,41.84377813,-87.69463768,"(41.843778126, -87.694637678)"
11175304,JA545986,12/11/2017 19:15,007XX N SACRAMENTO BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,TRUE,FALSE,1221,12,27,23,3,1156092,1904769,2017,02/11/2018 15:54,41.89447592,-87.70216916,"(41.894475919, -87.702169158)"
11175934,JA546734,12/12/2017 18:00,007XX N OAKLEY BLVD,031A,ROBBERY,ARMED: HANDGUN,STREET,TRUE,FALSE,1221,12,32,24,3,1160934,1905033,2017,02/11/2018 15:54,41.89510124,-87.68437857,"(41.895101237, -87.684378568)"
11230118,JB151212,11/22/2017 09:08:00 PM,003XX W 79TH ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,TRUE,FALSE,623,6,17,44,10,,,2017,03/01/2018 15:52,,,
11172603,JA541446,12/08/2017 3:00,033XX S KEDZIE AVE,1020,ARSON,BY FIRE,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,1032,10,22,30,9,1155572,1882206,2017,03/01/2018 15:54,41.83257109,-87.70468577,"(41.832571089, -87.704685773)"
11223717,JB141803,02/04/2018 15:25,044XX W WASHINGTON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1113,11,28,26,11,,,2018,02/11/2018 15:57,,,
11227287,JB147188,10/08/2017 3:00,092XX S RACINE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,2222,22,21,73,2,,,2017,02/11/2018 15:57,,,
11227293,JB147230,09/09/2017 20:17,060XX S EBERHART AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,313,3,20,42,6,,,2017,02/11/2018 15:57,,,
11227475,JB147314,11/22/2017 02:42:00 AM,056XX N CHRISTIANA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,TRUE,1711,17,39,13,26,,,2017,02/11/2018 15:57,,,
11227505,JB146342,06/01/2017 0:01,115XX S ABERDEEN ST,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,FALSE,524,5,34,53,20,,,2017,02/11/2018 15:57,,,
11227508,JB146365,01/01/2017 0:01,027XX S WHIPPLE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1033,10,12,30,2,,,2017,02/11/2018 15:57,,,
11227509,JB146413,01/22/2017 12:01:00 AM,079XX S JEFFERY BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,FALSE,FALSE,414,4,8,46,20,,,2017,02/11/2018 15:57,,,
11227512,JB138735,09/05/2017 0:01,020XX N LECLAIRE AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,2522,25,31,19,2,,,2017,02/11/2018 15:57,,,
11227513,JB137941,09/01/2017 9:00,030XX W HARRISON ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1134,11,28,27,17,,,2017,02/11/2018 15:57,,,
11227569,JB147582,10/01/2017 0:00,004XX E 71ST ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,FALSE,FALSE,323,3,6,69,17,,,2017,02/11/2018 15:57,,,
11227583,JB147595,03/28/2017 02:00:00 PM,026XX W 79TH ST,620,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,835,8,18,70,5,,,2017,02/11/2018 15:57,,,
11227586,JB147613,02/10/2017 12:00,089XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,633,6,8,44,14,,,2017,02/11/2018 15:57,,,
11227633,JB147500,12/28/2017 03:55:00 PM,011XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,123,1,2,32,11,,,2017,02/11/2018 15:57,,,
11227634,JB147599,08/26/2017 10:00:00 AM,001XX W RANDOLPH ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,FALSE,FALSE,122,1,42,32,2,,,2017,02/11/2018 15:57,,,
23810,JB140548,02/04/2018 1:36,117XX S SANGAMON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,524,5,34,53,01A,1172100,1827003,2018,02/11/2018 15:57,41.68073915,-87.64566114,"(41.68073915, -87.645661144)"
11123850,JA478106,10/20/2017 01:15:00 AM,076XX S LOWE AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,621,6,17,71,9,1173288,1854309,2017,02/12/2018 15:49,41.75564461,-87.64050812,"(41.755644606, -87.640508123)"
10929491,JA244606,04/29/2017 11:38:00 PM,028XX W 21ST PL,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,TRUE,FALSE,1023,10,12,30,04B,1157704,1889592,2017,02/12/2018 15:46,41.85279603,-87.6966622,"(41.852796034, -87.696662196)"
11071841,JA411505,08/30/2017 01:04:00 AM,013XX N SPAULDING AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,TRUE,FALSE,1422,14,26,23,04B,1154121,1908599,2017,02/12/2018 15:46,41.90502536,-87.70930578,"(41.905025355, -87.709305775)"
11092775,JA438054,09/17/2017 11:53:00 AM,099XX S WESTERN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,TRUE,FALSE,2213,22,19,72,11,1162136,1838580,2017,02/12/2018 15:46,41.71272093,-87.68181398,"(41.712720927, -87.681813981)"
11166132,JA533860,12/02/2017 14:45,112XX S INDIANA AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,531,5,9,49,6,1179573,1830461,2017,02/12/2018 15:46,41.69006147,-87.61820129,"(41.69006147, -87.618201285)"
23128,JA149608,02/11/2017 7:05,001XX N MENARD AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,TRUE,FALSE,1512,15,29,25,01A,1137692,1900424,2017,03/01/2018 15:52,41.88290423,-87.76985258,"(41.882904225, -87.769852575)"
11225457,JB144550,02/05/2018 18:00,013XX N LA SALLE DR,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,1821,18,43,8,6,,,2018,02/12/2018 15:49,,,
11227960,JB148137,10/20/2017 09:00:00 AM,008XX N PAULINA ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,1213,12,1,24,26,,,2017,02/12/2018 15:49,,,
11228056,JB148123,11/21/2017 12:00:00 PM,028XX N SACRAMENTO AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,FALSE,FALSE,1411,14,35,21,11,,,2017,02/12/2018 15:49,,,
11228094,JB148335,11/20/2017 03:00:00 PM,055XX N CHRISTIANA AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,POOL ROOM,FALSE,FALSE,1712,17,40,13,11,,,2017,02/12/2018 15:49,,,
11228256,JB148524,09/07/2017 18:00,035XX N WILTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1924,19,44,6,11,,,2017,02/12/2018 15:49,,,
11228287,JB148482,01/03/2018 15:45,0000X W C1 ST,810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,FALSE,1651,16,41,76,6,,,2018,02/12/2018 15:49,,,
11228293,JB148253,07/01/2017 20:40,060XX S TALMAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,825,8,15,66,11,,,2017,02/12/2018 15:49,,,
11228565,JB148941,12/16/2017 02:30:00 PM,102XX S EBERHART AVE,610,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,FALSE,FALSE,511,5,9,49,5,,,2017,02/12/2018 15:49,,,
11228573,JB148940,11/01/2017 15:00,004XX E 33RD ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,211,2,4,35,26,,,2017,02/12/2018 15:49,,,
23811,JB141441,02/05/2018 1:10,118XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,FALSE,FALSE,532,5,9,53,01A,1179707,1826280,2018,02/12/2018 15:49,41.67858515,-87.61783783,"(41.678585145, -87.617837834)"
10846398,JA149775,02/11/2017 10:46,001XX S CENTRAL AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,FALSE,FALSE,1513,15,29,25,26,1139086,1898605,2017,02/13/2018 03:56:09 PM,41.87788742,-87.76477792,"(41.877887422, -87.76477792)"
10856922,JA162189,02/21/2017 03:15:00 PM,016XX W 79TH ST,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,TRUE,FALSE,611,6,21,71,26,1166608,1852321,2017,02/13/2018 03:56:09 PM,41.75033427,-87.66504531,"(41.75033427, -87.665045312)"
11043709,JA378592,08/05/2017 15:45,038XX W GRENSHAW ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,TRUE,FALSE,1133,11,24,29,3,1151090,1894768,2017,02/13/2018 03:56:09 PM,41.86713159,-87.7208023,"(41.867131594, -87.720802297)"
11126911,JA482268,10/23/2017 09:37:00 AM,019XX W CORTLAND ST,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,STREET,TRUE,FALSE,1434,14,32,22,04B,1162975,1912649,2017,02/13/2018 03:56:09 PM,41.91595749,-87.67666839,"(41.915957492, -87.676668385)"
11143767,JA504025,11/08/2017 2:32,009XX N MASSASOIT AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,TRUE,FALSE,1511,15,29,25,5,1137852,1905732,2017,02/13/2018 03:56:09 PM,41.89746717,-87.76913688,"(41.897467171, -87.769136879)"
11145578,JA506751,11/10/2017 16:00,013XX S KARLOV AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1011,10,24,29,08B,1149269,1893370,2017,02/13/2018 03:56:09 PM,41.86333078,-87.72752371,"(41.863330777, -87.727523713)"
11146097,JA507458,11/11/2017 2:30,056XX S GREEN ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,TRUE,TRUE,712,7,20,68,04B,1171599,1867535,2017,02/13/2018 03:56:09 PM,41.79197549,-87.64631068,"(41.791975485, -87.64631068)"
11151046,JA513954,11/16/2017 12:00:00 PM,013XX S KARLOV AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,TRUE,TRUE,1011,10,24,29,08B,1149269,1893370,2017,02/13/2018 03:56:09 PM,41.86333078,-87.72752371,"(41.863330777, -87.727523713)"
11164834,JA532022,12/01/2017 7:30,013XX S KARLOV AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,TRUE,1011,10,24,29,14,1149269,1893370,2017,02/13/2018 03:56:09 PM,41.86333078,-87.72752371,"(41.863330777, -87.727523713)"
11170225,JA538651,12/06/2017 9:15,092XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,TRUE,FALSE,633,6,9,44,3,1183175,1844016,2017,02/13/2018 03:56:09 PM,41.72717528,-87.60459441,"(41.727175279, -87.604594406)"
11172432,JA542024,12/08/2017 9:00,040XX N SACRAMENTO AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,TRUE,FALSE,1724,17,33,16,5,1155663,1926747,2017,02/13/2018 03:56:09 PM,41.95479392,-87.70315154,"(41.954793921, -87.703151539)"
11223707,JB141873,02/05/2018 0:00,061XX N KENMORE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,2433,24,48,77,26,,,2018,02/12/2018 15:49,,,
11195036,JB104139,11/02/2017 0:00,025XX N LINDEN PL,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1414,14,35,22,10,1155044,1916598,2017,02/13/2018 03:56:09 PM,41.92695681,-87.70570027,"(41.926956806, -87.705700265)"
11223630,JB140001,02/03/2018 14:40,050XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,FALSE,FALSE,223,2,4,38,14,,,2018,04/25/2018 03:54:41 PM,,,
11227476,JB147378,12/18/2017 12:00:00 PM,053XX N LINDER AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,FALSE,FALSE,1623,16,45,11,11,,,2017,02/13/2018 03:56:09 PM,,,
10817335,JA117566,01/16/2017 12:30:00 AM,077XX S SOUTH SHORE DR,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,421,4,7,43,5,1197202,1854810,2017,02/10/2018 15:50,41.75645749,-87.55285393,"(41.756457493, -87.552853934)"
10817336,JA117586,01/16/2017 04:03:00 AM,026XX E 75TH ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,421,4,7,43,08B,1194900,1855736,2017,02/10/2018 15:50,41.75905551,-87.56125968,"(41.759055505, -87.561259676)"
11228604,JB149032,12/14/2017 06:30:00 PM,063XX S STONY ISLAND AVE,810,THEFT,OVER $500,ATHLETIC CLUB,FALSE,FALSE,314,3,20,42,6,,,2017,02/13/2018 03:58:53 PM,,,
11228628,JB149091,11/22/2017 12:01:00 AM,080XX S MANISTEE AVE,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,RESIDENCE,FALSE,FALSE,422,4,7,46,26,,,2017,02/13/2018 03:58:53 PM,,,
11228656,JB149151,01/01/2017 6:00,081XX S ELLIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,631,6,8,44,11,,,2017,02/13/2018 03:58:53 PM,,,
11228685,JB149208,01/01/2017 12:00,108XX S FOREST AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,513,5,9,49,11,,,2017,02/13/2018 03:58:53 PM,,,
11228710,JB149234,03/27/2017 12:01:00 AM,031XX W AUGUSTA BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1211,12,26,23,11,,,2017,02/13/2018 03:58:53 PM,,,
11228723,JB149162,11/01/2017 6:00,016XX W AINSLIE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,2032,20,47,3,11,,,2017,02/13/2018 03:58:53 PM,,,
11228780,JB149380,11/23/2017 12:30:00 PM,007XX N AVERS AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1112,11,27,23,5,,,2017,02/13/2018 03:58:53 PM,,,
